id,cue_words,difficulty_lvl,category_name
PI_145,Ambedkar,Medium,Famous Personality - Indian
PI_146,Rajinikanth,Medium,Famous Personality - Indian
PI_147,Virat Kohli,Medium,Famous Personality - Indian
PI_148,Vivekananda,Medium,Famous Personality - Indian
PI_149,Indira Gandhi,Medium,Famous Personality - Indian
PI_150,Prabhas,Medium,Famous Personality - Indian
PI_151,Ratan Tata,Medium,Famous Personality - Indian
PI_152,Sundar Pichai,Medium,Famous Personality - Indian
PI_153,Sachin Tendulkar,Medium,Famous Personality - Indian
PI_154,Tagore,Medium,Famous Personality - Indian
PI_155,Kalam,Hard,Famous Personality - Indian
PI_156,Amitabh Bachchan,Hard,Famous Personality - Indian
PI_157,Nehru,Hard,Famous Personality - Indian
PI_158,Shahrukh Khan,Hard,Famous Personality - Indian
PI_159,Modi,Hard,Famous Personality - Indian
PI_160,A R Rahman,Hard,Famous Personality - Indian
PI_161,Suit,Easy,Fashion
PI_162,Jacket,Easy,Fashion
PI_163,Earrings,Medium,Fashion
PI_164,Heels,Medium,Fashion
PI_165,Scarf,Medium,Fashion
PI_166,Skirt,Medium,Fashion
PI_167,Tie,Medium,Fashion
PI_168,Boots,Medium,Fashion
PI_169,Cap,Medium,Fashion
PI_170,Blazer,Medium,Fashion
PI_171,Gloves,Medium,Fashion
PI_172,Necklace,Medium,Fashion
PI_173,Dress,Medium,Fashion
PI_174,Saree,Medium,Fashion
PI_175,Watch,Hard,Fashion
PI_176,Blouse,Hard,Fashion
PI_177,Belt,Hard,Fashion
PI_178,Hat,Hard,Fashion
PI_179,Shoes,Hard,Fashion
PI_180,Jeans,Hard,Fashion
PI_181,Jurassic Park,Easy,Movie names
PI_182,Titanic,Easy,Movie names
PI_183,Matrix,Medium,Movie names
PI_184,Inception,Medium,Movie names
PI_185,Star Wars,Medium,Movie names
PI_186,Frozen,Medium,Movie names
PI_187,Avengers,Medium,Movie names
PI_188,ET,Medium,Movie names
PI_189,Casablanca,Medium,Movie names
PI_190,Rocky,Medium,Movie names
PI_191,Gladiator,Medium,Movie names
PI_192,Interstellar,Medium,Movie names
PI_193,Harry Potter,Medium,Movie names
PI_194,Toy Story,Medium,Movie names
PI_195,Joker,Hard,Movie names
PI_196,Lion King,Hard,Movie names
PI_197,Avatar,Hard,Movie names
PI_198,Psycho,Hard,Movie names
PI_199,Godfather,Hard,Movie names
PI_200,Jaws,Hard,Movie names
PI_201,Notebook,Easy,Back to school
PI_202,Chalk,Easy,Back to school
PI_203,Lunchbox,Medium,Back to school
PI_204,Pencil,Medium,Back to school
PI_205,Uniform,Medium,Back to school
PI_206,Bag,Medium,Back to school
PI_207,Ruler,Medium,Back to school
PI_208,Desk,Medium,Back to school
PI_209,Bell,Medium,Back to school
PI_210,Lab,Medium,Back to school
PI_211,Playground,Medium,Back to school
PI_212,Eraser,Medium,Back to school
PI_213,Exam,Hard,Back to school
PI_214,Blackboard,Hard,Back to school
PI_215,Library,Hard,Back to school
PI_216,Airplane,Easy,Travel/Transport
PI_217,Metro,Easy,Travel/Transport
PI_218,Engine,Medium,Travel/Transport
PI_219,Car,Medium,Travel/Transport
PI_220,Cruise,Medium,Travel/Transport
PI_221,Bicycle,Medium,Travel/Transport
PI_222,Highway,Medium,Travel/Transport
PI_223,Luggage,Medium,Travel/Transport
PI_224,Museum,Hard,Travel/Transport
PI_225,Security,Medium,Travel/Transport
PI_226,Train,Medium,Travel/Transport
PI_227,Map,Medium,Travel/Transport
PI_228,Bus,Medium,Travel/Transport
PI_229,Compass,Medium,Travel/Transport
PI_230,Subway,Hard,Travel/Transport
PI_231,Passport,Hard,Travel/Transport
PI_232,Petrol,Hard,Travel/Transport
PI_233,Ticket,Hard,Travel/Transport
PI_234,Taxi,Hard,Travel/Transport
PI_235,Suitcase,Hard,Travel/Transport
PI_236,Lawyer,Easy,Jobs/Occupations
PI_237,Driver,Easy,Jobs/Occupations
PI_238,Farmer,Medium,Jobs/Occupations
PI_239,Scientist,Medium,Jobs/Occupations
PI_240,Architect,Medium,Jobs/Occupations
PI_241,Police,Medium,Jobs/Occupations
PI_242,Doctor,Medium,Jobs/Occupations
PI_243,Actor,Medium,Jobs/Occupations
PI_244,Nurse,Medium,Jobs/Occupations
PI_245,Firefighter,Medium,Jobs/Occupations
PI_246,Teacher,Medium,Jobs/Occupations
PI_247,Engineer,Medium,Jobs/Occupations
PI_248,Pilot,Hard,Jobs/Occupations
PI_249,Chef,Hard,Jobs/Occupations
PI_250,Artist,Hard,Jobs/Occupations
PI_251,Cousin,Easy,Relationships
PI_252,Uncle,Easy,Relationships
PI_253,Mother,Medium,Relationships
PI_254,Sister,Medium,Relationships
PI_255,Brother,Medium,Relationships
PI_256,Father,Medium,Relationships
PI_257,Spouse,Medium,Relationships
PI_258,Grandfather,Medium,Relationships
PI_259,Niece,Hard,Relationships
PI_260,Aunt,Hard,Relationships
PI_261,Spaceship,Easy,General words
PI_262,Unicorn,Easy,General words
PI_263,Candle,Easy,General words
PI_264,Puzzle,Easy,General words
PI_265,Tiara,Medium,General words
PI_266,Garden,Medium,General words
PI_267,Helmet,Medium,General words
PI_268,Ladder,Medium,General words
PI_269,Zombie,Medium,General words
PI_270,Anchor,Medium,General words
PI_271,Dragon,Medium,General words
PI_272,Lantern,Medium,General words
PI_273,Bubble,Medium,General words
PI_274,Pet,Medium,General words
PI_275,Ship,Medium,General words
PI_276,Island,Medium,General words
PI_277,Robot,Medium,General words
PI_278,Toothbrush,Medium,General words
PI_279,Bridge,Medium,General words
PI_280,Treasure Chest,Medium,General words
PI_281,Jupiter,Medium,General words
PI_282,Crown,Medium,General words
PI_283,Shutter,Medium,General words
PI_284,Rocket,Medium,General words
PI_285,Mirror,Medium,General words
PI_286,Sword,Medium,General words
PI_287,Balloon,Medium,General words
PI_288,Whistle,Medium,General words
PI_289,Circus,Medium,General words
PI_290,Book,Medium,General words
PI_291,Mattress,Hard,General words
PI_292,Quilt,Hard,General words
PI_293,Dinosaur,Hard,General words
PI_294,Castle,Hard,General words
PI_295,King,Hard,General words
PI_296,Zipper,Hard,General words
PI_297,Magnet,Hard,General words
PI_298,Treasure,Hard,General words
PI_299,Clock,Hard,General words
PI_300,Cactus,Hard,General words
